,time (hours),Agg GPU alloc(%)
4707,392.25,87.5
4708,392.3333333333333,87.5
4709,392.4166666666667,88.28125
4710,392.5,88.28125
4711,392.5833333333333,88.28125
4712,392.6666666666667,89.0625
4713,392.75,88.28125
4714,392.8333333333333,88.28125
4715,392.9166666666667,88.28125
4716,393.0,88.28125
4717,393.0833333333333,87.5
4718,393.1666666666667,88.28125
4719,393.25,88.28125
4720,393.3333333333333,88.28125
4721,393.4166666666667,89.0625
4722,393.5,89.84375
4723,393.5833333333333,89.84375
4724,393.6666666666667,89.84375
4725,393.75,90.625
4726,393.8333333333333,90.625
4727,393.9166666666667,90.625
4728,394.0,90.625
4729,394.0833333333333,90.625
4730,394.1666666666667,91.40625
4731,394.25,90.625
4732,394.3333333333333,90.625
4733,394.4166666666667,90.625
4734,394.5,89.84375
4735,394.5833333333333,91.40625
4736,394.6666666666667,91.40625
4737,394.75,91.40625
4738,394.8333333333333,92.1875
4739,394.9166666666667,92.1875
4740,395.0,92.1875
4741,395.0833333333333,91.40625
4742,395.1666666666667,92.1875
4743,395.25,89.84375
4744,395.3333333333333,90.625
4745,395.4166666666667,90.625
4746,395.5,91.40625
4747,395.5833333333333,91.40625
4748,395.6666666666667,91.40625
4749,395.75,91.40625
4750,395.8333333333333,91.40625
4751,395.9166666666667,91.40625
4752,396.0,91.40625
4753,396.0833333333333,91.40625
4754,396.1666666666667,91.40625
4755,396.25,91.40625
4756,396.3333333333333,90.625
4757,396.4166666666667,89.84375
4758,396.5,89.84375
4759,396.5833333333333,90.625
4760,396.6666666666667,90.625
4761,396.75,89.84375
4762,396.8333333333333,89.0625
4763,396.9166666666667,90.625
4764,397.0,90.625
4765,397.0833333333333,90.625
4766,397.1666666666667,89.84375
4767,397.25,89.84375
4768,397.3333333333333,89.84375
4769,397.4166666666667,89.84375
4770,397.5,89.84375
4771,397.5833333333333,89.84375
4772,397.6666666666667,89.0625
4773,397.75,88.28125
4774,397.8333333333333,88.28125
4775,397.9166666666667,89.0625
4776,398.0,87.5
4777,398.0833333333333,87.5
4778,398.1666666666667,87.5
4779,398.25,87.5
4780,398.3333333333333,87.5
4781,398.4166666666667,87.5
4782,398.5,87.5
4783,398.5833333333333,87.5
4784,398.6666666666667,87.5
4785,398.75,87.5
4786,398.8333333333333,88.28125
4787,398.9166666666667,88.28125
4788,399.0,87.5
4789,399.0833333333333,87.5
4790,399.1666666666667,87.5
4791,399.25,85.9375
4792,399.3333333333333,85.9375
4793,399.4166666666667,85.9375
4794,399.5,85.15625
4795,399.5833333333333,83.59375
4796,399.6666666666667,83.59375
4797,399.75,84.375
4798,399.8333333333333,85.15625
4799,399.9166666666667,85.15625
4800,400.0,84.375
4801,400.0833333333333,83.59375
4802,400.1666666666667,84.375
4803,400.25,84.375
4804,400.3333333333333,84.375
4805,400.4166666666667,83.59375
4806,400.5,84.375
4807,400.5833333333333,86.71875
4808,400.6666666666667,87.5
4809,400.75,86.71875
4810,400.8333333333333,86.71875
4811,400.9166666666667,85.9375
4812,401.0,85.9375
4813,401.0833333333333,85.15625
4814,401.1666666666667,85.9375
4815,401.25,86.71875
4816,401.3333333333333,87.5
4817,401.4166666666667,87.5
4818,401.5,86.71875
4819,401.5833333333333,87.5
4820,401.6666666666667,88.28125
4821,401.75,88.28125
4822,401.8333333333333,89.0625
4823,401.9166666666667,89.0625
4824,402.0,88.28125
4825,402.0833333333333,87.5
4826,402.1666666666667,87.5
4827,402.25,87.5
4828,402.3333333333333,86.71875
4829,402.4166666666667,87.5
4830,402.5,86.71875
4831,402.5833333333333,86.71875
4832,402.6666666666667,85.9375
4833,402.75,85.9375
4834,402.8333333333333,85.9375
4835,402.9166666666667,85.9375
4836,403.0,85.9375
4837,403.0833333333333,85.9375
4838,403.1666666666667,85.9375
4839,403.25,86.71875
4840,403.3333333333333,87.5
