,time (hours),Agg GPU demand(%)
205,17.083333333333332,55.46875
206,17.166666666666668,54.6875
207,17.25,56.25
208,17.333333333333332,54.6875
209,17.416666666666668,55.46875
210,17.5,57.8125
211,17.583333333333332,58.59375
212,17.666666666666668,57.8125
213,17.75,57.03125
214,17.833333333333332,57.8125
215,17.916666666666668,57.8125
216,18.0,57.8125
217,18.083333333333332,59.375
218,18.166666666666668,60.9375
219,18.25,60.15625
220,18.333333333333332,59.375
221,18.416666666666668,60.9375
222,18.5,61.71875
223,18.583333333333332,61.71875
224,18.666666666666668,63.28125
225,18.75,63.28125
226,18.833333333333332,62.5
227,18.916666666666668,63.28125
228,19.0,60.9375
229,19.083333333333332,62.5
230,19.166666666666668,62.5
231,19.25,62.5
232,19.333333333333332,63.28125
233,19.416666666666668,62.5
