,time (hours),total gpu demand (%)
195,14.225555555555555,48.4375
196,14.244722222222222,49.21875
197,14.25,48.4375
198,14.254166666666666,49.21875
199,14.262222222222222,50.0
200,14.333333333333334,49.21875
201,14.387222222222222,50.0
202,14.444722222222222,50.78125
203,14.47638888888889,51.5625
204,14.481111111111112,52.34375
205,14.5,51.5625
206,14.541666666666666,52.34375
207,14.583333333333334,51.5625
208,14.634444444444444,52.34375
209,14.916666666666666,51.5625
210,14.937777777777777,52.34375
211,15.0,51.5625
212,15.061111111111112,52.34375
213,15.083333333333334,51.5625
214,15.083333333333334,50.78125
215,15.091666666666667,51.5625
216,15.1075,52.34375
217,15.166666666666666,51.5625
218,15.175555555555556,52.34375
219,15.176666666666666,53.125
220,15.25,52.34375
221,15.333333333333334,51.5625
222,15.416666666666666,50.78125
